Topic_code,Topic_desc,DataSet_code,DataSet_desc,Country_code,Country_desc,Flow_code,Flow_desc,Indicator_code,Indicator_desc,Partner_Country_code,Partner_Country_desc,Unit_code,Unit_desc,Year,Value,Value_Flag,Notes_Export
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1980,481806110,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1981,629357251,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1982,471510818,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1983,419411663,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1984,564642991,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1985,577409970,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1986,746870516,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1987,755702920,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1988,849191648,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1989,842291434,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1990,692480768,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1991,728866544,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1992,746906504,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1993,732918960,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1994,718806224,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1995,748605024,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1996,898678264,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1997,1050292776,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1998,1068344544,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1999,1344602287,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2000,2317282860,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2001,2400174054,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2002,2218374086,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2003,2128933023,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2004,2029000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2005,3722000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2006,3979000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2007,2678000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2008,3162000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2009,2340000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2010,2015000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2011,1827457000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2012,1374754000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2013,1198842000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2014,903941000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2015,870111000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2016,730268000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,1990,171741744,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,1991,271632032,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,1992,275948288,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,1993,247920336,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,1994,217410864,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,1995,261439360,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,1996,353665728,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,1997,342960960,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,1998,352790272,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,1999,471578240,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,2000,490113505,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,2001,396040244,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,2002,236495597,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,2003,272753559,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,2004,334000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,2005,483000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,2006,501000000,,
