"","Years","Import","Export","saldo"
"1",1980,641347322,481806110,-159541212
"2",1981,1019958380,629357251,-390601129
"3",1982,796620617,471510818,-325109799
"4",1983,576727692,419411663,-157316029
"5",1984,470966969,564642991,93676022
"6",1985,654508035,577409970,-77098065
"7",1986,913675846,746870516,-166805330
"8",1987,826496204,755702920,-70793284
"9",1988,974319848,849191648,-125128200
"10",1989,1367431200,842291434,-525139766
"11",1990,3028308416,1384961536,-1643346880
"12",1991,3015722368,1457733088,-1557989280
"13",1992,3366735488,1493813008,-1872922480
"14",1993,4774348160,1465837920,-3308510240
"15",1994,6805072768,1437612448,-5367460320
"16",1995,10459054592,1497210048,-8961844544
"17",1996,12111179776,1797356528,-10313823248
"18",1997,14001304320,2100585552,-11900718768
"19",1998,12414499584,2136689088,-10277810496
"20",1999,11844568460,2689204574,-9155363886
"21",2000,15202722374,4634565720,-10568156654
"22",2001,13911328450,4800348108,-9110980342
"23",2002,9521992246,4436748172,-5085244074
"24",2003,9868903230,4257866046,-5611037184
"25",2004,13801433454,4.058e+09,-9743433454
"26",2005,17571111356,7.444e+09,-10127111356
"27",2006,22079707734,7.958e+09,-14121707734
"28",2007,24727254000,5.356e+09,-19371254000
"29",2008,32604327006,6.324e+09,-26280327006
"30",2009,24651603440,4.68e+09,-19971603440
"31",2010,34964837560,4.03e+09,-30934837560
"32",2011,40681417878,3654914000,-37026503878
"33",2012,40114535548,2749508000,-37365027548
"34",2013,42393280492,2397684000,-39995596492
"35",2014,41191738606,1807882000,-39383856606
"36",2015,29548456954,1740222000,-27808234954
"37",2016,23958575826,1460536000,-22498039826
